,Unnamed: 0,head,relation,tail
8480,6329,Growth in the economy is gonna add to the overall prosperity and wealth,__label__Support,"on all of these things, a sound economy is the only way to get it going"
8481,6330,I wouldn't be standing here if Fritz Mondale didn't have the courage and my party didn't stand for the values that it does - the values of fairness and equal opportunity,__label__Support,Those values make our country strong
8482,6331,That's creating tens of thousands of jobs all across the country,__label__Support,double our exports
8483,6332,go after those who would do us harm,__label__Support,"As Commander in Chief, I will maintain the strongest military in the world"
8484,6333,we're going to do better,__label__Support,we'll do better still
8485,6334,I say that the American people don't want to go back to those policies,__label__Attack,He offers retreads of programs that failed
8486,6335,it's very important that we not overstep our bounds,__label__Support,"I do think we need to find out where racial profiling occurs and do something about it and say to the local folks, get it done"
8487,6336,We have a positive agenda on the environment,__label__Support,President Bill Clinton will protect our environment and prevent the kind of attacks on it that we saw in the last Congress and are included in the Republican platform
8488,6337,I understand that they need to get better rates of return than the rates of return being given in the current Social Security trust,__label__Support,I believe that younger workers ought to be allowed to take some of their own money and put it in a personal savings account
8489,6338,This would mean the resumption of a very dangerous nuclear arms race,__label__Support,"If President Brezhnev said, we will scrap this treaty, negotiated under three American Presidents over a seven-year period of time, we insist upon nuclear superiority as a basis for future negotiations, and we believe that the launching of a nuclear arms race is a good basis for future negotiations, it's obvious that I, as President, and all Americans, would reject such a proposition"
8490,6339,the president of the US doesn't just negotiate with your friends in Congress,__label__Support,the president of the US deals on the international scene
8491,6340,"We're going to fight for the middle-class, average, everyday American family like mine",__label__Support,"I want to assure you that John McCain and I, we're going to fight for America"
8492,6341,I agree with that,__label__Support,There are a million and a half people out there standing in line waiting to adopt children who can't have them any other way.  
